source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-CER,1915,Buckeye League,,ALSN0101,Allison,,,Canton,19150519,19150531,8,0,0,0,0,0,8,0,0,8,0,0,
boxscores/1915/1915-LDN,1915,Buckeye League,,ALSN0101,Allison,,,Canton,19150527,19150528,2,0,0,0,0,0,2,0,0,2,0,0,
minoraverages/Nemec,1915,Buckeye League,,B00013,Allison,,0,Canton,19150519,19150531,8,,,yes,,,yes,,,,,,
boxscores/1915/1915-CER,1915,Buckeye League,,PRTZ0102,Baird,,,Akron,19150524,19150524,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-NDA,1915,Buckeye League,,PRTZ0103,Baird,,,Akron,19150524,19150524,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-NDA,1915,Buckeye League,,PRTZ0203,Baird,,,Newark,19150531,19150531,2,1,0,0,0,0,1,0,1,0,0,1,
minoraverages/Nemec,1915,Buckeye League,,B00021,Baird,,1,Akron,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,,B00021,Baird,,2,Newark,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,,B00021,Baird,,T,,19150528,19150601,3,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,,P10019,Baird,,1,Akron,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,,P10019,Baird,,2,Newark,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,,P10019,Baird,,T,,,,,2,,,,,,,,,,,
boxscores/1915/1915-CER,1915,Buckeye League,,PNXR0101,Banchard,,,Newark,19150525,19150525,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-NDA,1915,Buckeye League,,PNXR0101,Banchard,,,Newark,19150525,19150525,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-CER,1915,Buckeye League,,PRNR0101,Barnhart,,,Canton,19150519,19150531,3,3,0,0,0,0,0,0,0,0,0,3,
boxscores/1915/1915-LDN,1915,Buckeye League,,PRNR0101,Barnhart,,,Canton,19150519,19150523,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-NDA,1915,Buckeye League,,PRNR0101,Barnhart,,,Canton,19150519,19150531,3,3,0,0,0,0,0,0,0,0,0,3,
minoraverages/Nemec,1915,Buckeye League,,B00037,Barnhart,,0,Canton,19150519,19150531,3,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,,P10024,Barnhart,,0,Canton,,,,3,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,,B00045,Baughman,,0,Canton,19150604,19150604,1,,,,,,yes,,,,,,
boxscores/1915/1915-LDN,1915,Buckeye League,,PNZZ0101,Beeney,,,Canton,19150606,19150611,5,0,0,0,0,0,0,0,0,0,5,0,
boxscores/1915/1915-NDA,1915,Buckeye League,,PNZZ0102,Beeney,,,Canton,19150606,19150610,5,0,0,0,0,0,0,0,0,0,5,0,
minoraverages/Nemec,1915,Buckeye League,,B00059,Beeney,,0,Canton,19150604,19150611,6,,,,,,,,,,yes,,
boxscores/1915/1915-NDA,1915,Buckeye League,,PNZZ0202,Beeny,,,Canton,19150611,19150611,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-LDN,1915,Buckeye League,,PNRZ0101,Benner,,,Newark,19150610,19150610,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-NDA,1915,Buckeye League,,PNRZ0101,Benner,,,Newark,19150610,19150610,1,1,0,0,0,0,0,0,0,0,0,1,
minoraverages/Nemec,1915,Buckeye League,,B00068,Benner,,0,Newark,19150611,19150611,1,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,,P10035,Benner,,0,Newark,,,,1,,,,,,,,,,,
boxscores/1915/1915-NDA,1915,Buckeye League,,PKSZ0101,Biggs,,,Canton,19150605,19150605,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-LDN,1915,Buckeye League,,PLKZ0101,Black,,,Findlay,19150617,19150630,6,6,0,0,0,0,0,0,0,0,0,6,
boxscores/1915/1915-NDA,1915,Buckeye League,,PLKZ0101,Black,,,Findlay,19150617,19150705,10,9,0,0,0,0,0,0,0,0,0,9,
minoraverages/Nemec,1915,Buckeye League,,B00076,Black,,0,Findlay,19150617,19150705,11,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,,P10043,Black,,0,Findlay,,,,10,,,,,,,,,,,
boxscores/1915/1915-CER,1915,Buckeye League,,PLNX0101,Blanchard,,,Newark,19150524,19150528,3,0,0,0,0,0,0,0,0,0,3,0,
boxscores/1915/1915-LDN,1915,Buckeye League,,PLNX0101,Blanchard,,,Newark,19150527,19150626,10,0,0,0,0,0,5,0,0,5,5,0,
boxscores/1915/1915-NDA,1915,Buckeye League,,PLNX0101,Blanchard,,,Newark,19150524,19150705,29,0,0,0,0,0,19,3,1,16,11,0,
minoraverages/Nemec,1915,Buckeye League,,B00084,Blanchard,,0,Newark,19150525,19150705,33,,,,,,yes,,,,yes,,
boxscores/1915/1915-LDN,1915,Buckeye League,,PLPZ0102,Blubaugh,,,Newark,19150617,19150702,4,4,0,0,0,0,0,0,0,0,0,4,
boxscores/1915/1915-NDA,1915,Buckeye League,,PLPZ0102,Blubaugh,,,Newark,19150616,19150623,4,3,0,0,0,0,0,0,0,0,0,3,
minoraverages/Nemec,1915,Buckeye League,,B00092,Blubaugh,Walter,0,Newark,19150617,19150703,7,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,,P10056,Blubaugh,Walter,0,Newark,,,,6,,,,,,,,,,,
boxscores/1915/1915-LDN,1915,Buckeye League,,PLZZ0101,Blue,,,Findlay,19150519,19150630,14,0,0,0,0,14,0,0,0,0,0,0,
boxscores/1915/1915-NDA,1915,Buckeye League,,PLZZ0101,Blue,,,Findlay,19150523,19150705,11,0,0,2,0,9,0,0,0,0,0,0,
minoraverages/Nemec,1915,Buckeye League,,B00101,Blue,,0,Findlay,19150519,19150705,41,,,yes,,yes,,,,,,,
boxscores/1915/1915-LDN,1915,Buckeye League,,PLPZ0202,Bluebaugh,,,Newark,19150626,19150627,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-NDA,1915,Buckeye League,,PLPZ0202,Bluebaugh,,,Newark,19150626,19150702,3,3,0,0,0,0,0,0,0,0,0,3,
boxscores/1915/1915-CER,1915,Buckeye League,,PNTZ0101,Bond,,,Lima,19150523,19150523,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-LDN,1915,Buckeye League,,PNTZ0101,Bond,,,Lima,19150523,19150705,10,10,0,0,0,0,0,0,0,0,0,10,
boxscores/1915/1915-NDA,1915,Buckeye League,,PNTZ0101,Bond,,,Lima,19150523,19150705,10,10,0,0,0,0,0,0,0,0,0,10,
minoraverages/Nemec,1915,Buckeye League,,B00117,Bond,,0,Lima,19150523,19150702,10,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,,P10062,Bond,,0,Lima,,,,11,,,,,,,,,,,
boxscores/1915/1915-LDN,1915,Buckeye League,,PNNZ0101,Bonin,,,Marion,19150605,19150606,3,0,0,0,0,0,3,0,0,3,0,0,
boxscores/1915/1915-NDA,1915,Buckeye League,,PNNZ0102,Bonin,,,Marion,19150521,19150531,4,0,0,0,0,0,4,0,0,4,0,0,
minoraverages/Nemec,1915,Buckeye League,,B00125,Bonin,Luther,0,Marion,19150519,19150610,15,,,,,,yes,,,,,,
boxscores/1915/1915-CER,1915,Buckeye League,,PNNZ0101,Bonnin,,,Marion,19150523,19150525,2,0,0,0,0,0,2,0,0,2,0,0,
