source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Nemec,1915,Southern Michigan League,badger,B00013,Badger,Guy,0,Battle Creek,,,66,,yes,yes,yes,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,barger,B00021,Barger,Everett,0,Saginaw,,,20,,yes,,,,,,,,,,
researchers/blau,1915,Southern Michigan League,,FFNWQJG,Barger,Everett,,Saginaw,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,barry,B00037,Barry,Grover,1,Bay City,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,barry,B00037,Barry,Grover,2,Saginaw,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,barry,B00037,Barry,Grover,T,,,,62,,yes,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,barry,B01170,Barry,,0,Bay City,,,15,,,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,barry,B01181,Barry,,0,Saginaw,,,47,,yes,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bashang,B00045,Bashang,Albert C.,0,Saginaw,,,67,,,yes,yes,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,B00059,Baxter,James,1,Jackson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,B00059,Baxter,James,2,Flint,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,B00059,Baxter,James,T,,,,7,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,baxter,B01197,Baxter,,0,Jackson,,,4,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,baxter,B01203,Baxter,,0,Flint,,,3,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,baxter,P10019,Baxter,,1,Jackson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,P10019,Baxter,,2,Flint,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,P10019,Baxter,,T,,,,,5,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,P10464,Baxter,,0,Jackson,,,,3,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,baxter,P10478,Baxter,,0,Flint,,,,2,,,,,,,,,,,
researchers/blau,1915,Southern Michigan League,,NBGDHXW,Baxter,Jimmy,,Jackson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,beall,B00068,Beall,George,0,South Bend,,,71,,yes,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,beebe,B00076,Beebe,Frederick,0,Flint,,,5,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,beebe,P10024,Beebe,,0,Flint,,,,5,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bell-jack,B00084,Bell,Don,0,Jackson,,,11,,yes,,,,yes,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,bell-fli+jack,B00092,Bell,Lynn,1,Flint,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bell-fli+jack,B00092,Bell,Lynn,2,Jackson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bell-fli+jack,B00092,Bell,Lynn,T,,,,35,,yes,,,yes,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bell-fli+jack,B01216,Bell,,0,Flint,,,22,,,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bell-jack,B01227,Bell,,0,Jackson,,,13,,yes,,,yes,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bell-jack,P10035,Bell,D.,0,Jackson,,,,2,,,,,,,,,,,
researchers/blau,1915,Southern Michigan League,,WPZMSBF,Bell,Don,,Jackson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,blank,B00101,Blank,Herman,0,Battle Creek,,,66,,,,,yes,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,blausser,B00117,Blausser,Roy,0,Bay City,,,67,,,,yes,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,brady,B00125,Brady,Herbert (King),0,Bay City,,,20,,yes,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bramble,B00130,Bramble,Curley,0,Battle Creek,,,50,,,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,bremer,B00149,Bremer,Arthur,0,Bay City,,,15,,,,,,yes,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,bremer,P10043,Bremer,,0,Bay City,,,,13,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,broder,B00158,Broder,Gilbert T.,0,South Bend,,,71,,,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,brubaker,B00163,Brubaker,Ray K.,0,Bay City,,,19,,,,,yes,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,cable,B00174,Cable,Harold,0,Jackson,,,30,,,,,yes,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,caeser,B00182,Caeser,Thomas,0,Bay City,,,34,,,,,,yes,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,caeser,P10056,Caeser,,0,Bay City,,,,10,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,callahan,B00196,Callahan,Wesley,0,Jackson,,,11,,,,,yes,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,carpenter,B00207,Carpenter,Buck,0,Battle Creek,,,17,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,carpenter,P10081,Carpenter,,0,Battle Creek,,,,16,,,,,,,,,,,
researchers/blau,1915,Southern Michigan League,,ZSGVJPG,Carpenter,Buck,,Battle Creek,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,claffey,B00210,Claffey,Joseph,0,South Bend,,,14,,,,,yes,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,collins,M90047,Collins,Danny,,Jackson,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,conway,B00229,Conway,Charles,0,Bay City,,,57,,,,,,yes,,,,yes,,
minoraverages/Nemec,1915,Southern Michigan League,crossman,B00232,Crossman,Hal,0,Bay City,,,22,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,crossman,P10062,Crossman,,0,Bay City,,,,20,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,curtis,B00241,Curtis,Robert,0,Battle Creek,,,4,,,,,,yes,,,,,yes,
minoraverages/Nemec,1915,Southern Michigan League,curtis,P10070,Curtis,,0,Battle Creek,,,,4,,,,,,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,diem,B00255,Diem,Eddie,0,Jackson,,,14,,,,,,yes,,,,,,
minoraverages/Nemec,1915,Southern Michigan League,dobbins,B00264,Dobbins,George,0,Battle Creek,,,66,,,,,,,,,,yes,,
minoraverages/Nemec,1915,Southern Michigan League,donnelly,B00278,Donnelly,Charles,0,Bay City,,,61,,yes,,,,yes,,,,yes,,
