source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-ESG,1915,New York State League,adams,P6011772,Adams,,,Binghamton,19150509,19150525,5,5,0,0,0,0,0,0,0,0,0,5,
minoraverages/1916Reach,1915,New York State League,adams,B01010,Adams,,0,Binghamton,,,6,,,,,,,,,,,,
boxscores/1915/1915-ESG,1915,New York State League,ahearn,P7769140,Ahearn,,,Utica,19150509,19150518,5,0,0,0,0,0,0,0,0,0,5,0,
minoraverages/1916Reach,1915,New York State League,ahearn,B01269,Ahearn,,0,Utica,,,7,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ahearn,F21381,Ahearn,,0,Utica,,,,,,,,,,,,,7,,
boxscores/1915/1915-ESG,1915,New York State League,ahles,P2258258,Ahles,,,Utica,19150506,19150515,2,0,0,0,0,0,0,0,0,0,2,0,
minoraverages/1916Reach,1915,New York State League,ahles,B00904,Ahles,,0,Utica,,,34,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ahles,F21416,Ahles,,0,Utica,,,,,,,,,,,,,34,,
minoraverages/1916Reach,1915,New York State League,ash,B01007,Ash,,0,Troy,,,8,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,ash,F20425,Ash,,0,Troy,,,,,8,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,barberich,B01242,Barberich,,0,Syracuse,,,8,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,barberich,F20810,Barberich,,0,Syracuse,,,,,,,,,,,,,,8,
minoraverages/1916Reach,1915,New York State League,barberich,P10024,Barberich,,0,Syracuse,,,,,,,,,,,,,,,
boxscores/1915/1915-ESG,1915,New York State League,bates,P8596518,Bates,,,Scranton,19150509,19150509,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-ESG,1915,New York State League,baxter-alb,P9623820,Baxter,,,Albany,19150506,19150525,12,0,0,0,0,12,0,0,0,0,0,0,
minoraverages/1916Reach,1915,New York State League,baxter-alb,B00638,Baxter,,0,Albany,,,40,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,baxter-wb,B00973,Baxter,,0,Wilkes-Barre,,,72,,,,,,,,,,,,
minoraverages/1916Reach,1915,New York State League,baxter-alb,F20673,Baxter,,0,Albany,,,,,,,,40,,,,,,,
