source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1915/1915-ESG,1915,New York State League,0506-albany-utica-0,19150506,0,Utica,4,Albany,1,BPRXGWS
boxscores/1915/1915-ESG,1915,New York State League,0506-binghamton-scranton-0,19150506,0,Scranton,5,Binghamton,6,KZHYJDT
boxscores/1915/1915-ESG,1915,New York State League,0506-elmira-wilkesbarre-0,19150506,0,Wilkes-Barre,5,Elmira,6,JXCGNZG
boxscores/1915/1915-ESG,1915,New York State League,0506-syracuse-troy-0,19150506,0,Syracuse,2,Troy,7,LMXBCHH
boxscores/1915/1915-ESG,1915,New York State League,0507-albany-utica-0,19150507,0,Utica,,Albany,,BQMVHDS
boxscores/1915/1915-ESG,1915,New York State League,0507-binghamton-scranton-0,19150507,0,Scranton,,Binghamton,,HWZGPYV
boxscores/1915/1915-ESG,1915,New York State League,0507-elmira-wilkesbarre-0,19150507,0,Wilkes-Barre,4,Elmira,1,PXNVHFB
boxscores/1915/1915-ESG,1915,New York State League,0507-syracuse-troy-0,19150507,0,Syracuse,,Troy,,CWZNNXS
boxscores/1915/1915-ESG,1915,New York State League,0508-albany-utica-0,19150508,0,Utica,,Albany,,WMTNXJJ
boxscores/1915/1915-ESG,1915,New York State League,0508-binghamton-scranton-0,19150508,0,Scranton,,Binghamton,,HKFGFZR
boxscores/1915/1915-ESG,1915,New York State League,0508-elmira-wilkesbarre-0,19150508,0,Wilkes-Barre,2,Elmira,4,NMWJSZQ
boxscores/1915/1915-ESG,1915,New York State League,0508-syracuse-troy-0,19150508,0,Syracuse,,Troy,,GZMWVWS
boxscores/1915/1915-ESG,1915,New York State League,0509-albany-syracuse-0,19150509,0,Syracuse,1,Albany,2,MRHZBHP
boxscores/1915/1915-ESG,1915,New York State League,0509-binghamton-wilkesbarre-0,19150509,0,Wilkes-Barre,5,Binghamton,0,PBKPDWM
boxscores/1915/1915-ESG,1915,New York State League,0509-elmira-scranton-0,19150509,0,Scranton,3,Elmira,14,SSKHTZQ
boxscores/1915/1915-ESG,1915,New York State League,0509-troy-utica-0,19150509,0,Utica,6,Troy,7,VGWTQVG
boxscores/1915/1915-ESG,1915,New York State League,0510-albany-syracuse-0,19150510,0,Syracuse,1,Albany,3,NMDWLRZ
boxscores/1915/1915-ESG,1915,New York State League,0510-binghamton-wilkesbarre-0,19150510,0,Wilkes-Barre,3,Binghamton,9,KBVTMYH
boxscores/1915/1915-ESG,1915,New York State League,0510-elmira-scranton-0,19150510,0,Scranton,13,Elmira,10,XTJBSGK
boxscores/1915/1915-ESG,1915,New York State League,0510-troy-utica-0,19150510,0,Utica,11,Troy,1,WGYBBNB
boxscores/1915/1915-ESG,1915,New York State League,0511-albany-syracuse-0,19150511,0,Syracuse,0,Albany,2,DDYZFLJ
boxscores/1915/1915-ESG,1915,New York State League,0511-binghamton-wilkesbarre-0,19150511,0,Wilkes-Barre,6,Binghamton,4,SXLDZJF
boxscores/1915/1915-ESG,1915,New York State League,0511-elmira-scranton-0,19150511,0,Scranton,2,Elmira,3,MDJJGQR
boxscores/1915/1915-ESG,1915,New York State League,0511-troy-utica-0,19150511,0,Utica,2,Troy,3,VGLZWQS
boxscores/1915/1915-ESG,1915,New York State League,0512-binghamton-scranton-0,19150512,0,Binghamton,8,Scranton,7,GZXPMXM
boxscores/1915/1915-ESG,1915,New York State League,0512-syracuse-troy-0,19150512,0,Troy,1,Syracuse,2,JQHQVXB
boxscores/1915/1915-ESG,1915,New York State League,0512-albany-utica-0,19150512,0,Albany,1,Utica,2,WVLJHCJ
boxscores/1915/1915-ESG,1915,New York State League,0512-elmira-wilkesbarre-0,19150512,0,Elmira,4,Wilkes-Barre,5,TXXMZLN
boxscores/1915/1915-ESG,1915,New York State League,0513-binghamton-scranton-0,19150513,0,Binghamton,,Scranton,,PGTHSKX
boxscores/1915/1915-ESG,1915,New York State League,0513-syracuse-troy-0,19150513,0,Troy,,Syracuse,,NZTHXKK
boxscores/1915/1915-ESG,1915,New York State League,0513-albany-utica-0,19150513,0,Albany,,Utica,,SZKGGQY
boxscores/1915/1915-ESG,1915,New York State League,0513-elmira-wilkesbarre-0,19150513,0,Elmira,2,Wilkes-Barre,3,WYXKTJF
boxscores/1915/1915-ESG,1915,New York State League,0514-binghamton-scranton-0,19150514,0,Binghamton,4,Scranton,7,DVBWHQR
boxscores/1915/1915-ESG,1915,New York State League,0514-syracuse-troy-0,19150514,0,Troy,7,Syracuse,6,SZRHGMK
boxscores/1915/1915-ESG,1915,New York State League,0514-albany-utica-0,19150514,0,Albany,6,Utica,8,CXBTKGX
boxscores/1915/1915-ESG,1915,New York State League,0514-elmira-wilkesbarre-0,19150514,0,Elmira,4,Wilkes-Barre,0,YGWYFSX
boxscores/1915/1915-ESG,1915,New York State League,0515-elmira-scranton-0,19150515,0,Elmira,1,Scranton,5,ZXTPCQV
boxscores/1915/1915-ESG,1915,New York State League,0515-albany-syracuse-0,19150515,0,Albany,3,Syracuse,4,ZBZYBCN
boxscores/1915/1915-ESG,1915,New York State League,0515-troy-utica-0,19150515,0,Troy,13,Utica,3,TXGLJRJ
boxscores/1915/1915-ESG,1915,New York State League,0515-binghamton-wilkesbarre-1,19150515,1,Binghamton,3,Wilkes-Barre,4,XRCNTKX
boxscores/1915/1915-ESG,1915,New York State League,0515-binghamton-wilkesbarre-2,19150515,2,Binghamton,2,Wilkes-Barre,6,SBJZBJX
boxscores/1915/1915-ESG,1915,New York State League,0517-elmira-scranton-0,19150517,0,Elmira,,Scranton,,VPXZRXY
boxscores/1915/1915-ESG,1915,New York State League,0517-albany-syracuse-0,19150517,0,Albany,,Syracuse,,MFBPHYL
boxscores/1915/1915-ESG,1915,New York State League,0517-troy-utica-0,19150517,0,Troy,,Utica,,YVFWDWQ
