source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1911Spalding,1910,Northwestern League,adams,B00319,Adams,,1,Vancouver,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,B00319,Adams,,2,Seattle,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,B00319,Adams,,T,,,,137,,
minoraverages/1911Spalding,1910,Northwestern League,adams,F20072,Adams,,0,Seattle,,,,,1b23
minoraverages/1911Spalding,1910,Northwestern League,adams,F20430,Adams,,1,Vancouver,,,,,of
minoraverages/1911Spalding,1910,Northwestern League,adams,F20430,Adams,,2,Seattle,,,,,of
minoraverages/1911Spalding,1910,Northwestern League,adams,F20430,Adams,,T,,,,,,of114
minoraverages/1911Spalding,1910,Northwestern League,akin,B00286,Akin,,0,Seattle,,,150,,
minoraverages/1911Spalding,1910,Northwestern League,akin,F20189,Akin,,0,Seattle,,,,,3b140
minoraverages/1911Spalding,1910,Northwestern League,akin,F20908,Akin,,0,Seattle,,,,,c12
minoraverages/1911Spalding,1910,Northwestern League,annis,B00370,Annis,,0,Tacoma,,,42,,
minoraverages/1911Spalding,1910,Northwestern League,annis,F20673,Annis,,0,Tacoma,,,,,p35
minoraverages/1911Spalding,1910,Northwestern League,annis,P10081,Annis,,0,Tacoma,,,,35,
minoraverages/1911Spalding,1910,Northwestern League,baker,B00528,Baker,,0,Spokane,,,46,,
minoraverages/1911Spalding,1910,Northwestern League,baker,F20737,Baker,,0,Spokane,,,,,p45
minoraverages/1911Spalding,1910,Northwestern League,baker,P10019,Baker,,0,Spokane,,,,45,
minoraverages/1911Spalding,1910,Northwestern League,bassey,B00335,Bassey,,0,Tacoma,,,114,,
minoraverages/1911Spalding,1910,Northwestern League,bassey,F20316,Bassey,,0,Tacoma,,,,,of114
minoraverages/1911Spalding,1910,Northwestern League,bennett,B00241,Bennett,,0,Seattle,,,158,,
minoraverages/1911Spalding,1910,Northwestern League,bennett,F20102,Bennett,,0,Seattle,,,,,2b158
minoraverages/1911Spalding,1910,Northwestern League,blankenship,B00117,Blankenship,,0,Tacoma,,,60,,
minoraverages/1911Spalding,1910,Northwestern League,blankenship,F20864,Blankenship,,0,Tacoma,,,,,c56
minoraverages/1911Spalding,1910,Northwestern League,bliss,B00822,Bliss,,0,Tacoma,,,10,,
minoraverages/1911Spalding,1910,Northwestern League,bonner,B00760,Bonner,,0,Spokane,,,38,,
minoraverages/1911Spalding,1910,Northwestern League,bonner,F20759,Bonner,,0,Spokane,,,,,p38
minoraverages/1911Spalding,1910,Northwestern League,bonner,P10062,Bonner,,0,Spokane,,,,38,
minoraverages/1911Spalding,1910,Northwestern League,breen,B00059,Breen,,0,Vancouver,,,148,,
minoraverages/1911Spalding,1910,Northwestern League,breen,F20131,Breen,,0,Vancouver,,,,,3b140
minoraverages/1911Spalding,1910,Northwestern League,brinker,B00076,Brinker,,0,Vancouver,,,121,,
minoraverages/1911Spalding,1910,Northwestern League,brinker,F20463,Brinker,,0,Vancouver,,,,,of116
minoraverages/1911Spalding,1910,Northwestern League,brooks,B00092,Brooks,,0,Spokane,,,54,,
minoraverages/1911Spalding,1910,Northwestern League,brooks,F20886,Brooks,,0,Spokane,,,,,c47
minoraverages/1911Spalding,1910,Northwestern League,brown,B00502,Brown,,0,Vancouver,,,47,,
minoraverages/1911Spalding,1910,Northwestern League,brown,F20177,Brown,,0,Vancouver,,,,,3b18
minoraverages/1911Spalding,1910,Northwestern League,brown,F20375,Brown,,0,Vancouver,,,,,of18
minoraverages/1911Spalding,1910,Northwestern League,butler,B00840,Butler,,1,Tacoma,,,,,
minoraverages/1911Spalding,1910,Northwestern League,butler,B00840,Butler,,2,Seattle,,,,,
minoraverages/1911Spalding,1910,Northwestern League,butler,B00840,Butler,,T,,,,18,,
minoraverages/1911Spalding,1910,Northwestern League,butler,F20776,Butler,,1,Tacoma,,,,,p
minoraverages/1911Spalding,1910,Northwestern League,butler,F20776,Butler,,2,Seattle,,,,,p
minoraverages/1911Spalding,1910,Northwestern League,butler,F20776,Butler,,T,,,,,,p18
minoraverages/1911Spalding,1910,Northwestern League,butler,P10266,Butler,,1,Tacoma,,,,,
minoraverages/1911Spalding,1910,Northwestern League,butler,P10266,Butler,,2,Seattle,,,,,
minoraverages/1911Spalding,1910,Northwestern League,butler,P10266,Butler,,T,,,,,18,
minoraverages/1911Spalding,1910,Northwestern League,byrnes,B00614,Byrnes,,0,Tacoma,,,99,,
minoraverages/1911Spalding,1910,Northwestern League,byrnes,F20841,Byrnes,,0,Tacoma,,,,,c99
minoraverages/1911Spalding,1910,Northwestern League,capron,B00416,Capron,,0,Vancouver,,,35,,
minoraverages/1911Spalding,1910,Northwestern League,capron,F20482,Capron,,0,Vancouver,,,,,of35
minoraverages/1911Spalding,1910,Northwestern League,cartwright,B00130,Cartwright,,0,Spokane,,,139,,
minoraverages/1911Spalding,1910,Northwestern League,cartwright,F20080,Cartwright,,0,Spokane,,,,,2b126
