source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/indy,2019,Empire Professional Baseball League,adams,B00794,Adams,Ryan,0,Road City,,,17,,
minoraverages/indy,2019,Empire Professional Baseball League,andrades,B00739,Andrades,Raphael,0,New York,,,24,,
minoraverages/indy,2019,Empire Professional Baseball League,anyanwu,B00531,Anyanwu,Kelechi,0,Road City,,,12,,
minoraverages/indy,2019,Empire Professional Baseball League,aponte,B00381,Aponte,Jason,0,Saranac Lake,,,28,,
minoraverages/indy,2019,Empire Professional Baseball League,arachina,B00117,Archina,Antonio,1,Plattsburgh,,,,,
minoraverages/indy,2019,Empire Professional Baseball League,arachina,B00117,Archina,Antonio,2,New York,,,,,
minoraverages/indy,2019,Empire Professional Baseball League,arachina,B00117,Archina,Antonio,T,,,,19,,
minoraverages/indy,2019,Empire Professional Baseball League,avila,B00491,Avila,Juan,0,Puerto Rico,,,34,,
minoraverages/indy,2019,Empire Professional Baseball League,barebo,B00163,Barebo,Charles,0,New Hampshire,,,27,,
minoraverages/indy,2019,Empire Professional Baseball League,becker,B00822,Becker,Sean,0,New York,,,21,,
minoraverages/indy,2019,Empire Professional Baseball League,belskie,B00553,Belskie,Kevin,0,New York,,,20,,
minoraverages/indy,2019,Empire Professional Baseball League,binder,B00207,Binder,Dalys,0,Plattsburgh,,,30,,
minoraverages/indy,2019,Empire Professional Baseball League,bissell,B00356,Bissell,Jacob,0,Puerto Rico,,,12,,
minoraverages/indy,2019,Empire Professional Baseball League,bracho,B00264,Bracho,Didimo,0,Puerto Rico,,,10,,
minoraverages/indy,2019,Empire Professional Baseball League,burton,B00416,Burton,Joe,0,New York,,,5,,
minoraverages/indy,2019,Empire Professional Baseball League,cabrera,B00614,Cabrera,LeoBaldo,0,Road City,,,34,,
minoraverages/indy,2019,Empire Professional Baseball League,camargo,B00149,Camargo,Brandon,1,New York,,,,,
minoraverages/indy,2019,Empire Professional Baseball League,camargo,B00149,Camargo,Brandon,2,Saranac Lake,,,,,
minoraverages/indy,2019,Empire Professional Baseball League,camargo,B00149,Camargo,Brandon,T,,,,25,,
minoraverages/indy,2019,Empire Professional Baseball League,carpio,B00182,Carpio,Christopher,0,Road City,,,26,,
minoraverages/indy,2019,Empire Professional Baseball League,clark,B00278,Clark,Donovan,0,New Hampshire,,,24,,
minoraverages/indy,2019,Empire Professional Baseball League,cotto,B00308,Cotto,Gabriel,0,Puerto Rico,,,18,,
minoraverages/indy,2019,Empire Professional Baseball League,cox,B00589,Cox,Khalyd,0,New York,,,26,,
