source,league.year,league.name,ident,game.date,game.number,away.name,away.score,home.name,home.score,game.ref
boxscores/1909/1909-AG,1909,Southern Association,0415-atlanta-birmingham-0,19090415,0,Birmingham,4,Atlanta,3,QWVPHKR
boxscores/1909/1909-MCA,1909,Southern Association,0415-atlanta-birmingham-0,19090415,0,Birmingham,4,Atlanta,3,NTTVSLS
boxscores/1909/1909-AG,1909,Southern Association,0415-littlerock-memphis-0,19090415,0,Little Rock,1,Memphis,0,PWZWYWH
boxscores/1909/1909-MCA,1909,Southern Association,0415-littlerock-memphis-0,19090415,0,Little Rock,1,Memphis,0,MSMDFLY
boxscores/1909/1909-AG,1909,Southern Association,0415-montgomery-nashville-0,19090415,0,Montgomery,3,Nashville,4,XHCRXRK
boxscores/1909/1909-MCA,1909,Southern Association,0415-montgomery-nashville-0,19090415,0,Montgomery,3,Nashville,4,DDNPNMP
boxscores/1909/1909-AG,1909,Southern Association,0415-mobile-neworleans-0,19090415,0,Mobile,2,New Orleans,8,KZZQQCS
boxscores/1909/1909-MCA,1909,Southern Association,0415-mobile-neworleans-0,19090415,0,Mobile,2,New Orleans,8,NNMKLQD
boxscores/1909/1909-AG,1909,Southern Association,0416-atlanta-birmingham-0,19090416,0,Birmingham,1,Atlanta,6,FCVPGPX
boxscores/1909/1909-MCA,1909,Southern Association,0416-atlanta-birmingham-0,19090416,0,Birmingham,1,Atlanta,6,FWCNWTG
boxscores/1909/1909-AG,1909,Southern Association,0416-littlerock-memphis-0,19090416,0,Little Rock,3,Memphis,10,RSWTVRN
boxscores/1909/1909-MCA,1909,Southern Association,0416-littlerock-memphis-0,19090416,0,Little Rock,3,Memphis,10,JBYXKCN
boxscores/1909/1909-AG,1909,Southern Association,0416-montgomery-nashville-0,19090416,0,Montgomery,2,Nashville,5,RHBJSDS
boxscores/1909/1909-MCA,1909,Southern Association,0416-montgomery-nashville-0,19090416,0,Montgomery,2,Nashville,5,BMJNDDL
boxscores/1909/1909-AG,1909,Southern Association,0416-mobile-neworleans-0,19090416,0,Mobile,1,New Orleans,4,SNMSPZB
boxscores/1909/1909-MCA,1909,Southern Association,0416-mobile-neworleans-0,19090416,0,Mobile,1,New Orleans,4,JNCSCZZ
boxscores/1909/1909-AG,1909,Southern Association,0417-atlanta-birmingham-0,19090417,0,Birmingham,1,Atlanta,7,SLQJGPV
boxscores/1909/1909-MCA,1909,Southern Association,0417-atlanta-birmingham-0,19090417,0,Birmingham,1,Atlanta,7,LVBTCXH
boxscores/1909/1909-AG,1909,Southern Association,0417-littlerock-memphis-0,19090417,0,Little Rock,8,Memphis,3,XJBPQWG
boxscores/1909/1909-MCA,1909,Southern Association,0417-littlerock-memphis-0,19090417,0,Little Rock,8,Memphis,3,RSPLNTR
boxscores/1909/1909-AG,1909,Southern Association,0417-montgomery-nashville-0,19090417,0,Montgomery,9,Nashville,7,CWCTPHG
