source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/Howard,1908,Tri-State League,adams,B00013,Adams,Clyde,0,Trenton,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,allen-wil,B00021,Allen,"""Pop""",0,Wilmington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,allen-alt,B00037,Allen,,0,Altoona,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,ashenbach,B00045,Ashenbach,"Edward Michael ""Ed""",0,Johnstown,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,ashenbach,M90047,Ashenbach,Edward Michael,,Johnstown,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,badel,B00059,Badel,"Frederick ""Fred""",0,Johnstown,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,baker,B00068,Baker,"John F. ""Home Run""*",0,Reading,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,bannon,B00076,Bannon,George,0,Altoona,,,,,,,,,,,,,,,
researchers/mcconnell,1908,Tri-State League,bannon,ZKBSPPC,Bannon,George,,Altoona,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,barthold,B00084,Barthold,"John F. ""Hans""*",1,Wilmington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,barthold,B00084,Barthold,"John F. ""Hans""*",2,Reading,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,barthold,B00084,Barthold,"John F. ""Hans""*",T,,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,barton,B00092,Barton,Harry L.*,0,Reading,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,baxter,B00101,Baxter,"John M. ""Moose""*",0,Johnstown,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,benton,B00117,Benton,Fred,0,Altoona,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,bibby,B00125,Bibby,Frank V.,0,Harrisburg,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,biehl,B00130,Biehl,"Joseph E. ""Joe""",0,Reading,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,biggins,B00149,Biggins,Edward Paul,0,Wilmington,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,blanchard,B00158,Blanchard,Foster L.,0,Lancaster,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,boice,B00163,Boice,George W.,0,Reading,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,bowcock,B00174,Bowcock,"Benjamin J. ""Benny""*",0,Johnstown,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,bowers,B00182,Bowers,,0,Altoona,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,brady,B00196,Brady,"James W. ""King""*",0,Johnstown,,,,,,,,,,,,,,,
minoraverages/Howard,1908,Tri-State League,brennan,B00207,Brennan,"James J. ""Jimmie""",0,Harrisburg,,,,,,,,,,,,,,,
